Date,Price,Open,High,Low,Vol.,Change %
06/06/2019,52.5,52,52.5,52,0.11K,0.96%
06/05/2019,52,52,52,52,,1.96%
06/04/2019,51,51,51,51,,2.00%
06/03/2019,50,50,50,50,,-1.96%
05/31/2019,51,51,51,51,,-0.97%
05/30/2019,51.5,52,52,51.5,,0.00%
05/29/2019,51.5,51.5,51.5,51.5,0.02K,-1.90%
05/28/2019,52.5,52.5,52.5,52.5,0.02K,0.00%
05/27/2019,52.5,52.5,52.5,52.5,,1.94%
05/24/2019,51.5,51.5,51.5,51.5,,-1.90%
05/23/2019,52.5,53,53,52.5,0.02K,-0.94%
05/22/2019,53,53.5,53.5,53,,-0.93%
05/21/2019,53.5,53.5,53.5,53.5,,0.94%
05/20/2019,53,54,54,52.5,2.00K,-1.85%
05/17/2019,54,54,54,54,,1.89%
05/16/2019,53,53,53,53,,0.95%
05/15/2019,52.5,53,53,52.5,,0.00%
05/14/2019,52.5,52.5,52.5,52.5,,0.00%
05/13/2019,52.5,53.5,53.5,52.5,0.02K,-1.87%
05/10/2019,53.5,53.5,53.5,53.5,,0.94%
05/09/2019,53,53,53,53,,-0.93%
05/08/2019,53.5,53,53.5,53,,2.88%
05/07/2019,52,52,52,52,,0.97%
05/06/2019,51.5,51.5,51.5,51.5,0.01K,-1.90%
05/03/2019,52.5,52.5,52.5,52.5,,-0.94%
05/02/2019,53,53,53,53,,0.00%
04/30/2019,53,52.5,53,52.5,,0.95%
04/29/2019,52.5,53,53,52.5,0.13K,0.00%
04/26/2019,52.5,52.5,52.5,52.5,,0.00%
04/25/2019,52.5,52.5,52.5,52.5,,0.00%
04/24/2019,52.5,52.5,52.5,52.5,,0.00%
04/23/2019,52.5,53,53,52.5,1.00K,-0.94%
04/18/2019,53,53,53,53,0.27K,1.92%
04/17/2019,52,52,52,52,,0.97%
04/16/2019,51.5,51.5,51.5,51.5,,0.00%
04/15/2019,51.5,51.5,51.5,51.5,,0.00%
04/12/2019,51.5,51,51.5,51,0.00K,0.98%
04/11/2019,51,51,51,51,0.20K,0.99%
04/10/2019,50.5,50.5,50.5,50.5,,0.00%
04/09/2019,50.5,50.5,50.5,50.5,,-0.98%
04/08/2019,51,51,51,51,0.04K,0.99%
04/05/2019,50.5,50.5,50.5,50.5,,1.41%
04/04/2019,49.8,49.8,49.8,49.8,,-0.40%
04/03/2019,50,49.8,50,49.8,,2.04%
04/02/2019,49,48.8,49,48.8,0.10K,0.41%
04/01/2019,48.8,48.4,48.8,48.4,0.00K,2.09%
03/29/2019,47.8,47.8,47.8,47.8,,0.42%
03/28/2019,47.6,47.6,47.6,47.6,,-0.42%
03/27/2019,47.8,47.2,47.8,47.2,0.02K,0.84%
03/26/2019,47.4,47.4,47.4,47.4,,-0.84%
03/25/2019,47.8,47.8,47.8,47.2,0.12K,-2.45%
03/22/2019,49,49,49,49,,1.24%
03/21/2019,48.4,48.4,48.4,48.4,,-2.02%
03/20/2019,49.4,49.4,49.4,49.4,,1.23%
03/19/2019,48.8,48.8,48.8,48.8,,0.41%
03/18/2019,48.6,48.6,48.6,48.6,,-1.62%
03/15/2019,49.4,48.2,49.4,48.2,0.02K,1.23%
03/14/2019,48.8,48,48.8,48,0.00K,2.09%
03/13/2019,47.8,47.8,47.8,47.8,,0.00%
03/12/2019,47.8,48,48,47.8,,0.42%
03/11/2019,47.6,47.4,47.6,47.2,,0.42%
03/08/2019,47.4,47.8,47.8,47.4,,-1.25%
03/07/2019,48,48,48,48,,-0.83%
03/06/2019,48.4,48.4,48.4,48.4,,0.00%
03/05/2019,48.4,48.4,48.4,48.4,,0.00%
03/04/2019,48.4,48.4,48.4,48.4,0.16K,0.41%
03/01/2019,48.2,48.2,48.2,48.2,,0.84%
02/28/2019,47.8,47.6,47.8,47.6,,-1.65%
02/27/2019,48.6,48.6,48.6,48.6,,0.41%
02/26/2019,48.4,48.4,48.4,48.4,,1.68%
02/25/2019,47.6,47.6,47.6,47.6,,0.00%
02/22/2019,47.6,47,47.6,47,,0.85%
02/21/2019,47.2,47.2,47.2,47.2,,0.43%
02/20/2019,47,46.8,47,46.8,,0.86%
02/19/2019,46.6,46.6,46.6,46.6,,-0.85%
02/18/2019,47,47,47,47,,0.43%
02/15/2019,46.8,46,46.8,46,,1.74%
02/14/2019,46,46,46,46,,0.00%
02/13/2019,46,46,46.4,46,0.13K,0.00%
02/12/2019,46,46.2,46.2,46,0.00K,0.00%
02/11/2019,46,46,46,46,0.00K,0.00%
02/08/2019,46,46,46,46,,-2.54%
02/07/2019,47.2,47.2,47.2,47.2,,-0.84%
02/06/2019,47.6,47.6,47.6,47.6,,-0.83%
02/05/2019,48,47.4,48,47.4,,2.13%
02/04/2019,47,48,48,47,0.03K,-1.26%
02/01/2019,47.6,47.6,47.6,47.6,,-1.24%
01/31/2019,48.2,48.2,48.2,48.2,,-2.82%
01/30/2019,49.6,49.6,49.6,49.6,,-0.40%
01/29/2019,49.8,49.8,49.8,49.8,,0.00%
01/28/2019,49.8,49.8,49.8,49.8,0.29K,0.00%
01/25/2019,49.8,49.8,49.8,49.8,0.18K,1.63%
01/24/2019,49,49,49,49,,-0.41%
01/23/2019,49.2,49.2,49.2,49.2,,-1.60%
01/22/2019,50,50,50,50,,0.40%
01/21/2019,49.8,49.8,49.8,49.8,,1.63%
01/18/2019,49,49,49,49,,0.82%
01/17/2019,48.6,48.6,48.6,48.6,,-0.41%
01/16/2019,48.8,48.8,48.8,48.8,,0.83%
01/15/2019,48.4,48.4,48.4,48.4,,-0.41%
01/14/2019,48.6,48.6,48.6,48.6,,-1.22%
01/11/2019,49.2,49.2,49.2,49.2,,-0.81%
01/10/2019,49.6,48.6,49.6,48.6,0.03K,1.22%
01/09/2019,49,49,49.2,49,0.32K,0.41%
01/08/2019,48.8,48.8,48.8,48.8,,-1.61%
01/07/2019,49.6,49.6,49.6,49.6,,3.33%
01/04/2019,48,48,48,48,,0.42%
01/03/2019,47.8,47.8,47.8,47.8,,-1.24%
01/02/2019,48.4,48.6,48.6,48.4,1.90K,0.83%
12/28/2018,48,48,48,48,,-1.64%
12/27/2018,48.8,48.8,48.8,48.8,,0.41%
12/21/2018,48.6,48.6,48.6,48.6,,-0.41%
12/20/2018,48.8,48.6,48.8,48.6,,-2.01%
12/19/2018,49.8,50,50,49.8,,-1.39%
12/18/2018,50.5,49.4,50.5,49.4,,1.00%
12/17/2018,50,50,50,50,,0.00%
12/14/2018,50,49.6,50,49.6,0.30K,0.00%
12/13/2018,50,49.8,50,49.8,,1.63%
12/12/2018,49.2,49,49.2,49,0.02K,1.23%
12/11/2018,48.6,48.6,48.6,48.6,,0.41%
12/10/2018,48.4,48.2,48.4,48.2,,-1.22%
12/07/2018,49,49,49,49,,0.00%
12/06/2018,49,49,49,49,,-2.00%
12/05/2018,50,50,50,50,,-2.91%
12/04/2018,51.5,51.5,51.5,51.5,,-2.83%
12/03/2018,53,53,53,53,,3.92%
11/30/2018,51,51,51,51,,0.99%
11/29/2018,50.5,51.5,51.5,50.5,,-0.98%
11/28/2018,51,51,51,51,,0.00%
11/27/2018,51,51,51,51,,-0.97%
11/26/2018,51.5,50.5,51.5,50.5,0.05K,3.83%
11/23/2018,49.6,49.6,49.6,49.6,,-0.80%
11/22/2018,50,50,50,50,,0.00%
11/21/2018,50,49.6,50,49.6,0.11K,2.04%
11/20/2018,49,49.4,49.4,49,,-1.61%
11/19/2018,49.8,50.5,50.5,49.8,,-2.35%
11/16/2018,51,51,51,51,,2.00%
11/15/2018,50,50,50,50,,0.00%
11/14/2018,50,50,50,50,,-0.99%
11/13/2018,50.5,50,50.5,50,0.40K,-1.94%
11/12/2018,51.5,51.5,51.5,51.5,,0.00%
11/09/2018,51.5,51.5,51.5,51.5,,0.00%
11/08/2018,51.5,51,51.5,51,,0.98%
11/07/2018,51,51,51,51,,0.00%
11/06/2018,51,51,51,51,,0.00%
11/05/2018,51,51,51,51,,-0.97%
11/02/2018,51.5,51.5,51.5,51.5,,1.98%
11/01/2018,50.5,50.5,50.5,50.5,,-0.98%
10/31/2018,51,51,51,51,,0.00%
10/30/2018,51,51,51,51,,0.00%
10/29/2018,51,51,51,51,,3.66%
10/26/2018,49.2,49.2,49.2,49.2,,-0.81%
10/25/2018,49.6,49.4,49.6,49.4,0.53K,0.40%
10/24/2018,49.4,49.4,49.4,49.4,0.02K,0.82%
10/23/2018,49,49,49,49,,-2.00%
10/22/2018,50,50,50,50,,-1.96%
10/19/2018,51,50.5,51,50.5,0.00K,-0.97%
10/18/2018,51.5,51,51.5,51,0.02K,0.98%
10/17/2018,51,51,51,51,,0.99%
10/16/2018,50.5,50,51,50,0.00K,1.81%
10/15/2018,49.6,49.6,49.6,49.6,,-2.75%
10/12/2018,51,50,51,50,0.00K,5.37%
10/11/2018,48.4,48.4,48.4,48.4,,-6.92%
10/10/2018,52,52,52,52,0.00K,-0.95%
10/09/2018,52.5,52,52.5,52,0.72K,0.00%
10/08/2018,52.5,52.5,52.5,52.5,,-0.94%
10/05/2018,53,53,53,53,,0.00%
10/04/2018,53,53,53,53,0.00K,-0.93%
10/02/2018,53.5,53.5,53.5,53.5,,-2.73%
10/01/2018,55,55,55,55,,0.00%
09/28/2018,55,55.5,55.5,55,,-0.90%
09/27/2018,55.5,55.5,55.5,55.5,,-0.89%
09/26/2018,56,56,56,56,,0.90%
09/25/2018,55.5,55.5,55.5,55.5,,0.00%
09/24/2018,55.5,55,55.5,55,,1.83%
09/21/2018,54.5,55,55,54.5,0.21K,0.00%
09/20/2018,54.5,54.5,54.5,54.5,,0.00%
09/19/2018,54.5,54.5,54.5,54.5,,0.00%
09/18/2018,54.5,54.5,54.5,54.5,,0.00%
09/17/2018,54.5,54.5,54.5,54.5,,0.00%
09/14/2018,54.5,54.5,55,54.5,0.01K,0.00%
09/13/2018,54.5,54.5,54.5,54.5,,0.93%
09/12/2018,54,54,54,54,,-0.92%
09/11/2018,54.5,54,54.5,54,,0.93%
09/10/2018,54,54,54,54,,0.00%
09/07/2018,54,54,54,54,,0.00%
09/06/2018,54,54,54,54,,-0.92%
09/05/2018,54.5,55,55,54.5,,-2.68%
09/04/2018,56,55.5,56,55.5,2.00K,0.00%
09/03/2018,56,56,56,56,,0.00%
08/31/2018,56,56,56,56,,-0.88%
08/30/2018,56.5,56.5,56.5,56.5,,0.00%
08/29/2018,56.5,56.5,56.5,56.5,,0.00%
08/28/2018,56.5,56.5,56.5,56.5,,0.89%
08/27/2018,56,56,56,56,,0.00%
08/24/2018,56,56,56,56,,1.82%
08/23/2018,55,55.5,55.5,55,0.00K,0.00%
08/22/2018,55,55,55,55,,-0.90%
08/21/2018,55.5,55,55.5,55,0.05K,0.00%
08/20/2018,55.5,55,55.5,55,,1.83%
08/17/2018,54.5,55,55.5,54.5,0.20K,0.00%
08/16/2018,54.5,54.5,54.5,54.5,,0.00%
08/15/2018,54.5,55.5,55.5,54.5,,-0.91%
08/14/2018,55,55.5,55.5,55,,0.00%
08/13/2018,55,55,55,55,,-0.90%
08/10/2018,55.5,55.5,55.5,55.5,,0.00%
08/09/2018,55.5,56,56,55.5,,-0.89%
08/08/2018,56,56,56,56,,0.90%
08/07/2018,55.5,55.5,55.5,55.5,,-0.89%
08/06/2018,56,56,56,56,,-1.75%
08/03/2018,57,57,57,57,0.01K,-4.20%
08/02/2018,59.5,59.5,59.5,59.5,,-0.83%
08/01/2018,60,60,60,60,,0.00%
07/31/2018,60,60,60,60,,0.00%
07/30/2018,60,60,60,60,,0.00%
